,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithCooling_7_OnlyVCWG_Bueno.csv,MeteoData.Tatm,7_TempProf_cur[20.0],7_PresProf_cur[20.0],7_sensor_idx_20.0
2004-07-01 10:00:00,20.022,20.262,99676.0,100150.0,69.46,20.0,291.59,100470.963,18.70696013588025
2004-07-01 10:05:00,20.188,20.674,99672.0,100147.583,79.673,20.16700000000003,291.877,100470.66,18.99598740070536
2004-07-01 10:10:00,20.604,21.084,99676.0,100145.167,74.759,20.333000000000027,292.075,100470.375,19.195949780321598
2004-07-01 10:15:00,20.82,21.06,99674.0,100142.75,84.073,20.5,292.326,100470.071,19.448949131842483
2004-07-01 10:20:00,21.018,21.01,99670.0,100140.333,78.598,20.66700000000003,292.502,100469.805,19.62691276397294
2004-07-01 10:25:00,20.994,21.338,99664.0,100137.917,87.746,20.833000000000027,292.738,100469.514,19.864913692230346
2004-07-01 10:30:00,21.336,21.758000000000003,99662.0,100135.5,82.051,21.0,292.909,100469.25,20.037879038216772
2004-07-01 10:35:00,21.602,22.276,99658.0,100133.083,91.103,21.16700000000003,293.147,100468.957,20.277886529518867
2004-07-01 10:40:00,21.276,22.546,99658.0,100130.667,85.449,21.333000000000027,293.319,100468.693,20.451856730122188
2004-07-01 10:45:00,21.17,21.794,99656.0,100128.25,94.039,21.5,293.554,100468.402,20.68886850302175
2004-07-01 10:50:00,21.462,22.622,99656.0,100125.833,88.542,21.66700000000003,293.725,100468.138,20.861843295425103
2004-07-01 10:55:00,21.108,22.152,99658.0,100123.417,95.994,21.833000000000027,293.957,100467.849,21.095858418939372
2004-07-01 11:00:00,21.274,22.414,99652.0,100121.0,90.903,22.0,294.128,100467.587,21.268839581944462
2004-07-01 11:05:00,21.378,22.856,99646.0,100117.833,98.37,22.075000000000045,294.256,100467.452,21.399517678938935
2004-07-01 11:10:00,21.668,23.09,99644.0,100114.667,94.478,22.150000000000034,294.333,100467.356,21.479178656146757
2004-07-01 11:15:00,22.136000000000003,23.208,99634.0,100111.5,101.889,22.225000000000023,294.464,100467.233,21.612874091414483
2004-07-01 11:20:00,22.11,22.428,99638.0,100108.333,98.607,22.30000000000001,294.557,100467.122,21.708543086785653
2004-07-01 11:25:00,22.354,23.398000000000003,99626.0,100105.167,105.383,22.375,294.694,100466.991,21.848241604605846
2004-07-01 11:30:00,21.944,23.528,99624.0,100102.0,102.728,22.450000000000045,294.791,100466.877,21.947916088444913
2004-07-01 11:35:00,21.598,24.104,99628.0,100098.833,108.849,22.525000000000034,294.923,100466.748,22.082616511915717
2004-07-01 11:40:00,21.732,23.272,99620.0,100095.667,106.816,22.600000000000023,295.023,100466.632,22.185295549651016
2004-07-01 11:45:00,22.398000000000003,23.562,99622.0,100092.5,112.236,22.67500000000001,295.152,100466.503,22.316997299917432
2004-07-01 11:50:00,22.558,23.576,99620.0,100089.333,110.858,22.75,295.255,100466.385,22.422682680663797
2004-07-01 11:55:00,22.672,24.002,99620.0,100086.167,114.823,22.825000000000045,295.381,100466.256,22.551384808460398
2004-07-01 12:00:00,23.134,24.098000000000003,99604.0,100083.0,113.817,22.900000000000034,295.483,100466.137,22.65607225866205
2004-07-01 12:05:00,23.436,24.206,99600.0,100080.333,116.276,22.942000000000007,295.637,100465.96,22.812347149307357
2004-07-01 12:10:00,23.204,23.424,99598.0,100077.667,113.376,22.983000000000004,295.72,100465.81,22.897567577109896
2004-07-01 12:15:00,23.358,24.092,99594.0,100075.0,114.334,23.025000000000034,295.807,100465.663,22.986797110261705
2004-07-01 12:20:00,22.822,24.614,99594.0,100072.333,111.447,23.067000000000007,295.873,100465.525,23.055011998056898
2004-07-01 12:25:00,22.844,24.482,99594.0,100069.667,112.038,23.108000000000004,295.953,100465.383,23.137239507393815
2004-07-01 12:30:00,22.878,24.094,99590.0,100067.0,109.225,23.150000000000034,296.019,100465.246,23.205457400870387
2004-07-01 12:35:00,22.972,23.26,99586.0,100064.333,109.556,23.192000000000007,296.097,100465.105,23.28568667632902
2004-07-01 12:40:00,22.564,22.87,99592.0,100061.667,106.79,23.233000000000004,296.16,100464.97,23.350904106058636
2004-07-01 12:45:00,22.478,22.806,99588.0,100059.0,106.9,23.275000000000034,296.236,100464.831,23.429135052884362
2004-07-01 12:50:00,22.76,23.018,99580.0,100056.333,104.148,23.317000000000007,296.297,100464.698,23.492354758692784
2004-07-01 12:55:00,22.964,23.234,99576.0,100053.667,102.616,23.358000000000004,296.369,100464.561,23.566584099239094
2004-07-01 13:00:00,22.808,23.434,99570.0,100051.0,99.845,23.400000000000034,296.423,100464.432,23.622800924076557
2004-07-01 13:05:00,22.764,23.748,99568.0,100049.0,100.675,23.41700000000003,296.417,100464.411,23.61847276469797
2004-07-01 13:10:00,22.836,23.528,99572.0,100047.0,99.384,23.43300000000005,296.406,100464.402,23.609148761447898
2004-07-01 13:15:00,23.02,23.814,99572.0,100045.0,100.715,23.450000000000045,296.417,100464.382,23.621841720034922
2004-07-01 13:20:00,23.314,23.78,99572.0,100043.0,99.675,23.46700000000004,296.421,100464.362,23.62752642733426
2004-07-01 13:25:00,23.274,23.752,99570.0,100041.0,101.123,23.483000000000004,296.442,100464.335,23.65022585236926
2004-07-01 13:30:00,23.512,23.534,99572.0,100039.0,100.229,23.5,296.451,100464.313,23.66091521395913
2004-07-01 13:35:00,23.45,23.76,99568.0,100037.0,101.62,23.516999999999996,296.471,100464.285,23.68261306793653
2004-07-01 13:40:00,23.274,23.466,99568.0,100035.0,100.799,23.533000000000015,296.48,100464.262,23.693301937250453
2004-07-01 13:45:00,23.5,23.628,99570.0,100033.0,102.202,23.55000000000001,296.501,100464.233,23.716000653694664
